set_num,lego_info,value
00-1,theme_id,414
00-1,num_parts,471
00-2,num_parts,147
00-2,theme_id,413
00-3,num_parts,149
00-3,theme_id,413
00-4,num_parts,126
00-4,theme_id,413
00-6,num_parts,3
00-6,theme_id,67
00-7,num_parts,3
00-7,theme_id,413
0011-2,theme_id,84
0011-2,num_parts,12
0011-3,theme_id,199
0011-3,num_parts,2
0012-1,num_parts,12
0012-1,theme_id,143
0013-1,num_parts,12
0013-1,theme_id,143
0014-1,theme_id,143
0014-1,num_parts,12
0015-1,theme_id,143
0015-1,num_parts,18
0016-1,num_parts,15
0016-1,theme_id,186
005-1,num_parts,35
005-1,theme_id,366
010-1,theme_id,366
010-1,num_parts,57
010-3,num_parts,77
010-3,theme_id,366
011-1,num_parts,145
011-1,theme_id,366
022-1,num_parts,110
022-1,theme_id,366
03093-1,num_parts,70
03093-1,theme_id,502
033-2,theme_id,366
033-2,num_parts,177
044-1,theme_id,366
044-1,num_parts,225
055-2,theme_id,366
055-2,num_parts,256
066-1,num_parts,407
066-1,theme_id,366
080-1,theme_id,366
080-1,num_parts,710
088-1,theme_id,469
088-1,num_parts,615
1-10,num_parts,86
1-10,theme_id,423
1-11,theme_id,469
1-11,num_parts,36
1-7,num_parts,107
1-7,theme_id,469
1-8,num_parts,67
1-8,theme_id,433
10-2,theme_id,469
10-2,num_parts,129
10-3,num_parts,8
10-3,theme_id,456
100-1,theme_id,243
100-1,num_parts,16
100-2,num_parts,27
100-2,theme_id,243
10000-1,num_parts,256
10000-1,theme_id,186
10001-1,num_parts,785
10001-1,theme_id,233
10002-1,num_parts,272
10002-1,theme_id,233
10003-1,theme_id,254
10003-1,num_parts,100
10004-1,theme_id,254
10004-1,num_parts,100
10005-1,theme_id,254
10005-1,num_parts,50
10006-1,num_parts,50
10006-1,theme_id,254
10007-1,theme_id,254
10007-1,num_parts,25
10008-1,theme_id,254
10008-1,num_parts,50
10009-1,theme_id,254
10009-1,num_parts,62
10010-1,num_parts,63
10010-1,theme_id,254
10011-1,num_parts,42
10011-1,theme_id,254
10012-1,num_parts,42
10012-1,theme_id,254
10013-1,num_parts,121
10013-1,theme_id,238
10014-1,num_parts,170
10014-1,theme_id,238
10015-1,num_parts,194
10015-1,theme_id,238
10016-1,num_parts,128
10016-1,theme_id,238
10017-1,num_parts,228
10017-1,theme_id,238
10018-1,num_parts,1868
10018-1,theme_id,158
10019-1,theme_id,174
10019-1,num_parts,1747
10020-1,theme_id,236
10020-1,num_parts,427
10020-2,num_parts,433
10020-2,theme_id,236
10021-1,num_parts,974
10021-1,theme_id,404
10022-1,num_parts,410
10022-1,theme_id,237
10023-1,num_parts,112
10023-1,theme_id,324
10024-1,num_parts,669
10024-1,theme_id,276
10025-1,num_parts,325
10025-1,theme_id,237
10026-1,num_parts,187
10026-1,theme_id,172
10027-1,theme_id,239
10027-1,num_parts,670
10029-1,num_parts,468
10029-1,theme_id,387
10030-1,num_parts,3115
10030-1,theme_id,174
10036-1,theme_id,75
10036-1,num_parts,150
10037-1,theme_id,75
10037-1,num_parts,194
10039-1,theme_id,186
10039-1,num_parts,431
10040-1,theme_id,147
10040-1,num_parts,914
10041-1,theme_id,85
10041-1,num_parts,639
10042-1,theme_id,206
10042-1,num_parts,35
10043-1,theme_id,254
10043-1,num_parts,1
10044-1,theme_id,254
10044-1,num_parts,44
10045-1,num_parts,13
10045-1,theme_id,254
10046-1,theme_id,254
10046-1,num_parts,100
10047-1,theme_id,254
10047-1,num_parts,36
10048-1,theme_id,254
10048-1,num_parts,61
10049-1,theme_id,254
10049-1,num_parts,31
10050-1,theme_id,254
10050-1,num_parts,34
10051-1,num_parts,50
10051-1,theme_id,254
10053-1,theme_id,254
10053-1,num_parts,44
10054-1,theme_id,254
10054-1,num_parts,68
10055-1,theme_id,254
10055-1,num_parts,50
10056-1,num_parts,56
10056-1,theme_id,254
10057-1,theme_id,254
10057-1,num_parts,56
10058-1,theme_id,254
10058-1,num_parts,56
10059-1,theme_id,254
10059-1,num_parts,56
10060-1,num_parts,56
10060-1,theme_id,254
10061-1,num_parts,84
10061-1,theme_id,254
10062-1,num_parts,84
10062-1,theme_id,254
10063-1,theme_id,254
10063-1,num_parts,84
10064-1,num_parts,84
10064-1,theme_id,254
10065-1,num_parts,84
10065-1,theme_id,254
10066-1,num_parts,41
10066-1,theme_id,255
10067-1,num_parts,53
10067-1,theme_id,254
10068-1,num_parts,39
10068-1,theme_id,227
10069-1,num_parts,33
10069-1,theme_id,227
10070-1,num_parts,26
10070-1,theme_id,227
10071-1,num_parts,25
10071-1,theme_id,229
10072-1,theme_id,256
10072-1,num_parts,56
10073-1,num_parts,130
10073-1,theme_id,256
10074-1,theme_id,256
10074-1,num_parts,68
10075-1,theme_id,488
10075-1,num_parts,25
10076-1,num_parts,38
10076-1,theme_id,256
10077-1,theme_id,256
10077-1,num_parts,55
10078-1,theme_id,257
10078-1,num_parts,1
10079-1,theme_id,227
10079-1,num_parts,42
10080-1,num_parts,33
10080-1,theme_id,227
10081-1,theme_id,500
10081-1,num_parts,70
10082-1,num_parts,70
10082-1,theme_id,500
10083-1,theme_id,500
10083-1,num_parts,70
10090-1,theme_id,231
10090-1,num_parts,54
101-1,theme_id,243
101-1,num_parts,1
101-3,num_parts,1
101-3,theme_id,243
10106-1,num_parts,107
10106-1,theme_id,227
10111-1,num_parts,10
10111-1,theme_id,254
10112-1,num_parts,25
10112-1,theme_id,254
10113-1,num_parts,5
10113-1,theme_id,254
10114-1,num_parts,100
10114-1,theme_id,254
10115-1,theme_id,254
10115-1,num_parts,80
10116-1,num_parts,50
10116-1,theme_id,500
10117-1,num_parts,50
10117-1,theme_id,500
10118-1,num_parts,50
10118-1,theme_id,500
10121-1,theme_id,459
10121-1,num_parts,16
10123-1,num_parts,707
10123-1,theme_id,169
