name,calories,fat,sugar
Coffee Crisp,260,13,25
Butterfinger,798,30,72
Skor,209,12,23
Smarties,210,6,33
Twix,250,12,25
Reeses Peanutbutter Cups ,220,13,22
3 Musketeers,262,8,40
Kinder Surprise,112,7,8
M & M,230,9,31
Glosettes,210,8,31
KitKat,239,12,22
Babe Ruth,275,13,32
Caramilk,220,12,23
Aero,220,12,25
Mars,228,8.5,30.5
Payday,240,13,21
Snickers,229,11,22
Crunchie,210,8,22
Wonderbar ,310,18,19
100 Grand ,190,8,22
Take 5,200,11,18
Whatchamacallits,237,11,13
Almond Joy,234,13,24
Oh Henry,263,13,26
Cookies and Cream,220,12,13
