name,matte,transparent
Weetabix Castle,471.0,0.0
Town Mini-Figures,12.0,0.0
Castle 2 for 1 Bonus Offer,0.0,0.0
Space Mini-Figures,12.0,0.0
Space Mini-Figures,12.0,0.0
Space Mini-Figures,12.0,0.0
Space Mini-Figures,18.0,0.0
Castle Mini Figures,15.0,0.0
Weetabix Promotional House 1,143.0,4.0
Weetabix Promotional House 2,149.0,0.0
Weetabix Promotional Windmill,126.0,0.0
Basic Building Set in Cardboard,35.0,0.0
Special Offer,0.0,0.0
Weetabix Promotional Lego Village,0.0,0.0
Basic Building Set in Cardboard,53.0,4.0
Basic Building Set,73.0,4.0
Basic Building Set,137.0,8.0
Basic Building Set,100.0,10.0
The Race to Build It Board Game,64.0,6.0
Basic Building Set,171.0,6.0
Basic Building Set,213.0,12.0
Basic Building Set,241.0,15.0
Basic Building Set,390.0,17.0
Basic Building Set with Train,705.0,5.0
Super Set,580.0,35.0
Guarded Inn,261.0,0.0
Metroliner,754.0,37.0
Railroad Club Car,251.0,22.0
1 x 2 Sand Red Bricks,100.0,0.0
2 x 2 Sand Red Bricks,100.0,0.0
2 x 4 Sand Red Bricks,50.0,0.0
1 x 6 Sand Red Bricks,50.0,0.0
2 x 4 Sand Red Ridge Roof Tiles Steep Slope,25.0,0.0
2 x 4 Roof Tile Sand Red,50.0,0.0
Assorted Blue Bricks,62.0,0.0
4.5V Motor with Wheels (Small Version),16.0,0.0
Assorted Yellow Bricks,63.0,0.0
Assorted Blue Plates,42.0,0.0
Assorted Yellow Plates,42.0,0.0
Open Freight Wagon,121.0,0.0
Caboose,156.0,17.0
Passenger Wagon,171.0,26.0
Tanker,128.0,0.0
Hopper Wagon,229.0,0.0
Darth Maul,1869.0,2.0
Rebel Blockade Runner - UCS,1745.0,11.0
4.5V Motor with Wheels (Large Version),27.0,0.0
"Santa Fe Super Chief, NOT the Limited Edition",419.0,10.0
"Santa Fe Super Chief, Limited Edition",423.0,10.0
U.S.S. Constellation,976.0,0.0
"Santa Fe Cars - Set II (dining, observation, or sleeping car)",374.0,39.0
Master Builder Set,110.0,3.0
Red Baron,678.0,0.0
Santa Fe Cars - Set I (mail or baggage car),307.0,19.0
Naboo Starfighter - UCS,188.0,2.0
Train Engine Shed,643.0,35.0
Lunar Lander,468.0,8.0
Imperial Star Destroyer - UCS,3112.0,21.0
Pizza To Go,146.0,6.0
Breezeway Cafe,175.0,30.0
Black Falcon's Fortress,437.0,0.0
Black Seas Barracuda,908.0,13.0
"Main Street, Reissue",626.0,23.0
American Flag,37.0,0.0
2x2 Electrical Plate,1.0,0.0
Windows and Doors,38.0,6.0
Pillars and Beams,13.0,0.0
Brown Tiles,100.0,0.0
Light Gray Arches,36.0,0.0
Small Wheels and Axles,61.0,0.0
Large Wheels and Axles,31.0,0.0
Gray Fences,34.0,0.0
Transparent Bricks,0.0,50.0
Black Slopes 33,44.0,0.0
Black Slopes 33 3 x 2 and 3 x 4,68.0,0.0
Black Slopes 33 3 x 1 and 3 x 3,50.0,0.0
White Plates 2 x n,56.0,0.0
Black Plates 2 x n,56.0,0.0
Red Plates 2 x n,56.0,0.0
Dark Green Plates 2 x n,56.0,0.0
Light Gray Plates 2 x n,56.0,0.0
Black Plates 1 x n,84.0,0.0
Red Plates 1 x n,84.0,0.0
Dark Green Plates 1 x n,84.0,0.0
Light Gray Plates 1 x n,84.0,0.0
White Plates 1 x n,84.0,0.0
Castle Accessories,41.0,0.0
Mini-Fig Headgear,46.0,7.0
Santa Claus,40.0,0.0
Christmas Tree,33.0,0.0
Reindeer,27.0,0.0
Mr. Bunny,26.0,0.0
TECHNIC Beams,56.0,0.0
Bushes,130.0,0.0
Cross Axles,68.0,0.0
Spider-Man Action Pack,25.0,0.0
TECHNIC Gear Wheels,40.0,1.0
TECHNIC Motor,48.0,8.0
Train Connection Wire,1.0,0.0
Snowman,43.0,0.0
Angel,31.0,3.0
Birthday Pack Heart,28.0,42.0
Birthday Pack Daisy,28.0,42.0
Birthday Pack Star,28.0,42.0
Turkey,55.0,0.0
Snowflake,73.0,35.0
4.5V Battery Case,1.0,0.0
Foliferous Tree,10.0,0.0
Bush,25.0,0.0
Cypress Trees,5.0,0.0
2 x 2 Sand Red Roof Tiles,100.0,0.0
Jumper Bricks,80.0,0.0
Accessories Heart,15.0,35.0
Accessories Daisy,0.0,50.0
Accessories Star,7.0,43.0
NBA Basketball Teams,16.0,0.0
Cloud City,628.0,94.0
Wright Flyer,677.0,0.0
NHL Action Set with Stickers,56.0,0.0
Train Level Crossing,309.0,23.0
Rebel Snowspeeder - UCS,1450.0,15.0
4.5V Battery Case,1.0,0.0
TIE Fighter Collection,652.0,36.0
Motorized Hogwarts Express,683.0,20.0
Burlington Northern Santa Fe Locomotive,391.0,10.0
Y-wing Attack Starfighter - UCS,1497.0,6.0
Death Star II,3390.0,70.0
Sandcrawler,1681.0,19.0
Assorted Light Gray Bricks,125.0,0.0
Assorted Dark Gray Bricks,63.0,0.0
Assorted Brown Bricks,62.0,0.0
Assorted Light Gray Plates,84.0,0.0
Assorted Dark Gray Plates,42.0,0.0
Assorted Brown Plates,42.0,0.0
Hot Rod,420.0,10.0
Maersk Sealand Container Ship 2004 Edition,958.0,33.0
Maersk Sealand Container Ship 2005 Edition,958.0,33.0
Maersk Line Container Ship 2006 Edition,958.0,33.0
Electric Train Motor 9V (My Own Train),3.0,0.0
Maersk Line Container Ship 2010 Edition,958.0,35.0
LEGO Truck,102.0,6.0
High Speed Train Locomotive,117.0,18.0
High Speed Train Car,131.0,21.0
City Airport -City Logo Box,832.0,97.0
City Airport -Full Size Image Box,832.0,97.0
Black Ridge Roof Tiles,48.0,0.0
Black Roof Tiles,76.0,0.0
Red Ridge Tiles,48.0,0.0
Red Roof Tiles,76.0,0.0
Elf Boy,29.0,0.0
Elf Girl,32.0,2.0
Brickmaster Kit (with Digital Designer CD),176.0,14.0
Mrs. Bunny,68.0,0.0
Chicken & Chicks,62.0,0.0
TTX Intermodal Double-Stack Car,365.0,0.0
Holiday Train,930.0,57.0
Imperial AT-ST - UCS,1082.0,0.0
Vader's TIE Advanced - UCS,1199.0,13.0
Royal King's Castle,857.0,22.0
Boeing 787 Dreamliner,1140.0,68.0
Motorized Walking AT-AT,1147.0,1.0
Millennium Falcon - UCS,5161.0,56.0
Eiffel Tower 1:300 Scale,3359.0,84.0
Cafe Corner,2040.0,49.0
Hobby Train,1010.0,84.0
Town Plan,2003.0,87.0
Green Grocer,2386.0,29.0
General Grievous,1034.0,75.0
Volkswagen Beetle (VW Beetle),1630.0,12.0
Death Star,3708.0,178.0
Taj Mahal,5554.0,408.0
Market Street,1275.0,2.0
Star Justice,847.0,41.0
Space Skulls,868.0,100.0
Medieval Market Village,1634.0,18.0
Emerald Night,1079.0,26.0
Republic Dropship with AT-OT,1772.0,4.0
Grand Carousel,3183.0,112.0
Fire Brigade,2213.0,65.0
Tantive IV,1395.0,29.0
Winter Toy Shop,790.0,51.0
Universal Building Set,125.0,4.0
Custom Car Garage,868.0,44.0
Takutanuva,1.0,0.0
Ultimate Dume (Limited Edition with Exclusive Mask Of Power),3.0,0.0
Ultimate Dume,0.0,0.0
Voporak,0.0,0.0
Vezon & Kardas,0.0,0.0
Locomotive,229.0,7.0
4.5V Motor Set,24.0,0.0
Imperial Flagship,1621.0,18.0
Grand Emporium,2048.0,173.0
Imperial Shuttle - UCS,2482.0,36.0
Shuttle Adventure,1174.0,48.0
Supplemental Pack for Shuttle Adventure Set 10213,29.0,0.0
Tower Bridge,4223.0,112.0
Obi-Wan's Jedi Starfighter - UCS,681.0,7.0
Winter Village Bakery,673.0,29.0
Diagon Alley,1947.0,125.0
Pet Shop,2031.0,69.0
Maersk Container Train,1241.0,30.0
Volkswagen T1 Camper Van,1322.0,38.0
Super Star Destroyer,3144.0,32.0
Winter Village Post Office,781.0,58.0
Kingdoms Joust,1599.0,25.0
Town Hall,2721.0,97.0
R2-D2,2146.0,20.0
Sopwith Camel,894.0,1.0
B-wing Starfighter,1510.0,13.0
Haunted House,2069.0,23.0
Winter Village Cottage,1469.0,63.0
Mini Modulars,1315.0,103.0
Shuttle Expedition,1187.0,59.0
Palace Cinema,2141.0,109.0
Horizon Express,1342.0,37.0
Sydney Opera House,2729.0,281.0
Winter Village Market [Initial Release],1202.0,97.0
Ewok Village,2047.0,33.0
The Tower of Orthanc,2402.0,25.0
Red Five X-Wing Starfighter,1564.0,14.0
Maersk Line Triple-E,1499.0,42.0
Mini Cooper,1090.0,46.0
Mini Cooper,1090.0,46.0
Parisian Restaurant,2489.0,69.0
Fairground Mixer,1679.0,120.0
Santa’s Workshop,891.0,42.0
Adventurers Value Pack (TRU Exclusive),1.0,0.0
Detective’s Office,2253.0,79.0
Ferris Wheel,2436.0,65.0
Ferrari F40,1158.0,32.0
Winter Toy Shop,859.0,82.0
Year Of The Snake,246.0,5.0
Brick Bank,2292.0,165.0
Volkswagen Beetle,1191.0,28.0
Big Ben,3672.0,587.0
Winter Holiday Train,701.0,72.0
Assembly Square,3997.0,150.0
Carousel,2569.0,100.0
Compass Sensor for Mindstorms NXT,1.0,0.0
Intelligent NXT Brick (Black),1.0,0.0
Milk Delivery Truck - Tine,87.0,6.0
Front-End Loader,53.0,11.0
Front-End Loader,48.0,8.0
Locomotive Wheels,8.0,0.0
TECHNIC I: Simple Machines Set,189.0,0.0
4.5V Motor Set with Rubber Tracks,24.0,0.0
Building Cards - 1030,20.0,0.0
TECHNIC II Set {4.5v},278.0,0.0
Building Cards - 1032,20.0,0.0
Teachers Resource Set,1534.0,0.0
ERBIE the Robo-Car,120.0,0.0
Manual Control Set 1,39.0,0.0
Replacement 4.5V Motor,1.0,0.0
Educational LEGO Building Set,660.0,23.0
Ships - 247 elements and 1 poster,209.0,29.0
Horse Stable,44.0,0.0
Zoo friends,4.0,1.0
My First Circus,60.0,2.0
Play House,83.0,0.0
Train Accessory Set,24.0,0.0
My First Train Set,51.0,1.0
Deluxe Train Set,132.0,2.0
Dusty and Chug,15.0,1.0
Canada Post Truck,62.0,3.0
Ripslinger's Air Race,40.0,0.0
Skipper's Flight School,49.0,0.0
Jake's Treasure Hunt,22.0,0.0
Never Land Hideout,33.0,4.0
Jake's Pirate Ship Bucky,54.0,2.0
Ariel's Undersea Castle,34.0,5.0
Ariel's Magical Boat Ride,26.0,3.0
My First Garden,37.0,0.0
My First Construction Site,46.0,1.0
Building Set,150.0,0.0
Big Front Loader,12.0,0.0
Baby Calf,9.0,0.0
Farm Animals,12.0,0.0
Farm Tractor,29.0,0.0
Big Farm,121.0,0.0
Peter Pan's Visit,37.0,2.0
Ambulance,14.0,0.0
School Bus,26.0,0.0
Truck,16.0,0.0
