calories,fat,sugar,chocolate_bar
260,13,25,Coffee Crisp
798,30,72,Butterfinger
209,12,23,Skor
210,6,33,Smarties
250,12,25,Twix
220,13,22,Reeses Peanutbutter Cups 
262,8,40,3 Musketeers
112,7,8,Kinder Surprise
230,9,31,M & M
210,8,31,Glosettes
239,12,22,KitKat
275,13,32,Babe Ruth
220,12,23,Caramilk
220,12,25,Aero
228,8.5,30.5,Mars
240,13,21,Payday
229,11,22,Snickers
210,8,22,Crunchie
310,18,19,Wonderbar 
190,8,22,100 Grand 
200,11,18,Take 5
237,11,13,Whatchamacallits
234,13,24,Almond Joy
263,13,26,Oh Henry
220,12,13,Cookies and Cream
