set_num,name,year,theme_id,num_parts,theme_name,parent_id
00-1,Weetabix Castle,1970,414,471,Castle,411.0
0011-2,Town Mini-Figures,1978,84,12,Supplemental,67.0
2181-1,Infomaniac,1997,84,4,Supplemental,67.0
300-1,T-Junction Road Plates,1978,84,2,Supplemental,67.0
301-1,Curved Road Plates,1978,84,2,Supplemental,67.0
302-1,Straight Road Plates (without crosswalk),1983,84,2,Supplemental,67.0
302-2,Straight Road Plates (with crosswalk),1978,84,2,Supplemental,67.0
551-1,T Road Plates,1979,84,2,Supplemental,67.0
552-1,Curved Road Plates,1979,84,2,Supplemental,67.0
553-1,Straight Road Plates,1979,84,2,Supplemental,67.0
6002-1,Town Figures,1983,84,20,Supplemental,67.0
6301-1,Town Mini-Figures,1986,84,34,Supplemental,67.0
6302-1,Mini-Figure Set,1982,84,31,Supplemental,67.0
6304-1,Cross Roads Plates,1980,84,2,Supplemental,67.0
6305-1,Trees and Flowers,1980,84,24,Supplemental,67.0
6306-1,Road Signs,1980,84,12,Supplemental,67.0
6307-1,Firemen,1983,84,22,Supplemental,67.0
6308-1,Policemen,1982,84,20,Supplemental,67.0
6309-1,Town Mini-Figures,1988,84,41,Supplemental,67.0
6310-1,T-Road Plates,1986,84,2,Supplemental,67.0
6311-1,Curved Road Plates,1986,84,2,Supplemental,67.0
6312-1,Straight Road Plates,1986,84,2,Supplemental,67.0
6313-1,Cross-Road Plates,1986,84,2,Supplemental,67.0
6314-1,City People,1992,84,36,Supplemental,67.0
6315-1,Road Signs,1988,84,11,Supplemental,67.0
6316-1,Flags and Fences,1988,84,38,Supplemental,67.0
6317-1,Trees and Flowers,1988,84,48,Supplemental,67.0
6318-1,"Flowers, Trees and Fences",1996,84,73,Supplemental,67.0
6319-1,Trees and Fences,1993,84,45,Supplemental,67.0
6347-1,Monorail Accessory Track,1991,84,54,Supplemental,67.0
6628-2,Construction Workers,1984,84,20,Supplemental,67.0
0011-3,Castle 2 for 1 Bonus Offer,1987,199,2,Lion Knights,186.0
1584-1,Knights Challenge,1988,199,168,Lion Knights,186.0
6010-1,Supply Wagon,1984,199,36,Lion Knights,186.0
6012-1,Siege Cart,1986,199,54,Lion Knights,186.0
6016-1,Knights' Arsenal,1987,199,37,Lion Knights,186.0
6017-1,King's Oarsmen,1987,199,45,Lion Knights,186.0
6021-1,Jousting Knights,1984,199,37,Lion Knights,186.0
6022-1,Horse Cart,1984,199,43,Lion Knights,186.0
6023-1,Maiden's Cart,1986,199,45,Lion Knights,186.0
6039-1,Twin-Arm Launcher,1988,199,77,Lion Knights,186.0
6040-1,Blacksmith Shop,1984,199,93,Lion Knights,186.0
6041-1,Armor Shop,1986,199,113,Lion Knights,186.0
6049-1,Viking Voyager,1987,199,101,Lion Knights,186.0
6055-1,Prisoner Convoy,1985,199,116,Lion Knights,186.0
6060-1,Knight's Challenge,1989,199,168,Lion Knights,186.0
6061-1,Siege Tower,1984,199,216,Lion Knights,186.0
6067-1,Guarded Inn,1986,199,256,Lion Knights,186.0
6080-1,King's Castle,1984,199,679,Lion Knights,186.0
0012-1,Space Mini-Figures,1979,143,12,Supplemental,126.0
0013-1,Space Mini-Figures,1979,143,12,Supplemental,126.0
0014-1,Space Mini-Figures,1979,143,12,Supplemental,126.0
0015-1,Space Mini-Figures,1979,143,18,Supplemental,126.0
305-1,Two Crater Plates,1979,143,2,Supplemental,126.0
306-1,Two Lunar Landing Plates,1979,143,2,Supplemental,126.0
453-1,Two Crater Plates,1979,143,2,Supplemental,126.0
454-1,Two Lunar Landing Plates,1979,143,2,Supplemental,126.0
6701-1,Minifig Pack,1983,143,36,Supplemental,126.0
6702-1,Minifig Pack,1986,143,43,Supplemental,126.0
6703-1,Minifig Pack,1988,143,42,Supplemental,126.0
6704-1,Minifig Pack,1991,143,44,Supplemental,126.0
6705-1,Space Explorers,1994,143,39,Supplemental,126.0
6710-1,Space Landing Pads,1991,143,2,Supplemental,126.0
6711-1,Space Mini-Figs,1983,143,24,Supplemental,126.0
0016-1,Castle Mini Figures,1978,186,15,Castle,
10000-1,Guarded Inn,2001,186,256,Castle,
10039-1,Black Falcon's Fortress,2002,186,431,Castle,
1597-1,Castle 3-Pack,1993,186,3,Castle,
1712-1,Crossbow Cart,1994,186,23,Castle,
1732-1,Crossbow Cart,1994,186,23,Castle,
1736-1,Wizard's Cart,1995,186,18,Castle,
1746-1,Wiz the Wizard,1995,186,18,Castle,
1794-1,Dragon Master Chariot,1994,186,36,Castle,
1906-1,Majisto's Tower,1994,186,196,Castle,
2586-1,Chess King,1998,186,26,Castle,
2891-1,Wizard Trader,1998,186,18,Castle,
6020-1,Magic Shop,1993,186,47,Castle,
6043-1,Dragon Defender,1993,186,156,Castle,
6048-1,Majisto's Magical Workshop,1993,186,188,Castle,
6056-1,Dragon Wagon,1993,186,109,Castle,
6076-1,Dark Dragon's Den,1993,186,219,Castle,
6082-1,Fire Breathing Fortress,1993,186,406,Castle,
70400-1,Forest Ambush,2013,186,90,Castle,
70401-1,Gold Getaway,2013,186,200,Castle,
70402-1,The Gatehouse Raid,2013,186,247,Castle,
70403-1,Dragon Mountain,2013,186,380,Castle,
70404-1,King’s Castle,2013,186,999,Castle,
casbon-1,Castle Bonus Pack,1998,186,3,Castle,
K10039-1,LEGO Legend Castle Collection,2003,186,3,Castle,
00-2,Weetabix Promotional House 1,1976,413,147,Building,411.0
00-3,Weetabix Promotional House 2,1976,413,149,Building,411.0
00-4,Weetabix Promotional Windmill,1976,413,126,Building,411.0
00-7,Weetabix Promotional Lego Village,1976,413,3,Building,411.0
344-1,Bungalow,1969,413,77,Building,411.0
345-1,House with Mini Wheel Car,1969,413,132,Building,411.0
346-2,House with Car,1969,413,167,Building,411.0
348-1,Garage with Automatic Doors,1971,413,38,Building,411.0
349-1,Swiss Chalet,1971,413,81,Building,411.0
350-1,Spanish Villa,1971,413,126,Building,411.0
352-1,Windmill and Lorry,1972,413,142,Building,411.0
353-1,Terrace House with Car and Garage,1972,413,153,Building,411.0
355-1,Town Center Set with Roadways,1972,413,332,Building,411.0
356-1,Swiss Villa,1973,413,150,Building,411.0
361-1,Tea Garden Cafe with Baker's Van,1974,413,214,Building,411.0
362-1,Windmill,1975,413,211,Building,411.0
368-1,Taxi Station,1976,413,157,Building,411.0
380-1,Village Set,1971,413,7,Building,411.0
540-3,Swiss Villa,1973,413,150,Building,411.0
550-2,Windmill,1976,413,211,Building,411.0
608-1,Kiosk,1971,413,33,Building,411.0
005-1,Basic Building Set in Cardboard,1965,366,35,Basic Set,365.0
010-1,Basic Building Set in Cardboard,1965,366,57,Basic Set,365.0
010-3,Basic Building Set,1968,366,77,Basic Set,365.0
011-1,Basic Building Set,1968,366,145,Basic Set,365.0
022-1,Basic Building Set,1968,366,110,Basic Set,365.0
033-2,Basic Building Set,1968,366,177,Basic Set,365.0
044-1,Basic Building Set,1968,366,225,Basic Set,365.0
055-2,Basic Building Set,1968,366,256,Basic Set,365.0
066-1,Basic Building Set,1968,366,407,Basic Set,365.0
080-1,Basic Building Set with Train,1967,366,710,Basic Set,365.0
10692-1,Creative Bricks,2015,366,220,Basic Set,365.0
10693-1,Creative Supplement,2015,366,302,Basic Set,365.0
10694-1,Creative Supplement Bright,2015,366,302,Basic Set,365.0
10695-1,Creative Building Box,2015,366,579,Basic Set,365.0
10696-1,Medium Creative Brick Box,2015,366,483,Basic Set,365.0
10698-1,Large Creative Brick Box,2015,366,789,Basic Set,365.0
10705-1,Creative Building Basket,2016,366,999,Basic Set,365.0
321-1,Clowns,1965,366,223,Basic Set,365.0
700.1-2,Gift Package,1957,366,0,Basic Set,365.0
700.2-2,Gift Package,1957,366,0,Basic Set,365.0
700.A-1,Automatic Binding Bricks Small Brick Set (Lego Mursten),1950,366,24,Basic Set,365.0
legobricks-1,Lego Bricks Box,1958,366,2,Basic Set,365.0
vwkit-1,Volkswagen Kit,1959,366,22,Basic Set,365.0
00-6,Special Offer,1985,67,3,Classic Town,50.0
1506-1,Town Value Pack,1986,67,2,Classic Town,50.0
1520-2,Town 2 for 1 Bonus Offer,1990,67,2,Classic Town,50.0
1976-1,Town 3-Pack,1984,67,3,Classic Town,50.0
1978-2,Town Value Pack,1983,67,3,Classic Town,50.0
1979-2,Town Value Pack,1984,67,3,Classic Town,50.0
1997-1,Town Value Pack,1985,67,3,Classic Town,50.0
821264-1,The Lego High Speed Adventure Team (TRU Exclusive),1991,67,3,Classic Town,50.0
VP-14,Classic Town Value Pack Duopack (6581 6596),1998,67,2,Classic Town,50.0
VP-17,Legoland Town Special Offer,1985,67,0,Classic Town,50.0
03093-1,The Race to Build It Board Game,1999,502,70,Game,501.0
2010-1,Happy Holidays - The Christmas Game,2010,502,139,Game,501.0
2856079-1,Creationary Booster Pack,2011,502,30,Game,501.0
30170-1,Ganrash,2012,502,56,Game,501.0
3835-1,Robo Champ,2009,502,119,Game,501.0
3836-1,Magikus,2009,502,109,Game,501.0
3837-1,Monster 4,2009,502,142,Game,501.0
3838-1,Lava Dragon,2009,502,136,Game,501.0
3839-1,Race 3000,2009,502,167,Game,501.0
3840-1,Pirate Code,2009,502,278,Game,501.0
3841-1,Minotaurus,2009,502,223,Game,501.0
3842-1,Lunar Command,2009,502,277,Game,501.0
3843-1,Ramses Pyramid,2009,502,231,Game,501.0
3844-1,Creationary,2009,502,341,Game,501.0
3845-1,Shave a Sheep,2010,502,118,Game,501.0
3846-1,UFO Attack,2010,502,88,Game,501.0
3847-1,Magma Monster,2010,502,95,Game,501.0
3848-1,Pirate Plank,2010,502,122,Game,501.0
3849-1,Orient Bazaar,2010,502,204,Game,501.0
3850-1,Meteor Strike,2010,502,185,Game,501.0
3851-1,Atlantis Treasure,2010,502,280,Game,501.0
3852-1,Sunblock,2011,502,80,Game,501.0
3853-1,Banana Balance,2011,502,49,Game,501.0
3854-1,Frog Rush,2011,502,107,Game,501.0
3855-1,Ramses Return,2011,502,99,Game,501.0
3856-1,Ninjago,2011,502,247,Game,501.0
3857-1,Draida Bay,2011,502,101,Game,501.0
3858-1,Waldurk Forest,2011,502,231,Game,501.0
3859-1,Caverns of Nathuz,2011,502,223,Game,501.0
3860-1,Castle Fortaan,2011,502,312,Game,501.0
3861-1,LEGO Champion,2011,502,216,Game,501.0
3862-1,Hogwarts,2010,502,332,Game,501.0
3863-1,Kokoriko,2012,502,115,Game,501.0
3864-1,Mini Taurus,2012,502,165,Game,501.0
3865-1,City Alarm,2012,502,246,Game,501.0
3866-1,Star Wars Battle of Hoth,2012,502,305,Game,501.0
3874-1,Ilrion,2012,502,245,Game,501.0
3920-1,The Hobbit,2012,502,394,Game,501.0
40174-1,Iconic Chess Set,2017,502,1450,Game,501.0
4277678-1,LEGO Games Knights Kingdom Chess,2005,502,184,Game,501.0
