name,weight,chocolate,peanuts,caramel,nougat,cookie_wafer_rice,coconut,white_chocolate,multi,available_canada_america
Coffee Crisp,50,yes,no,no,no,yes,no,no,no,Canada
Butterfinger,184,yes,yes,yes,no,no,no,no,no,America
Skor,39,yes,no,yes,no,no,no,no,no,Both
Smarties,45,yes,no,no,no,no,no,no,yes,Canada
Twix,58,yes,no,yes,no,yes,no,no,yes,Both
Reeses Peanutbutter Cups ,43,yes,yes,no,no,no,no,no,yes,Both
3 Musketeers,54,yes,no,no,yes,no,no,no,no,America
Kinder Surprise,20,yes,no,no,no,no,no,yes,no,Canada
M & M,48,yes,yes,no,no,no,no,no,yes,Both
Glosettes,50,yes,no,no,no,no,no,no,yes,Canada
KitKat,45,yes,no,no,no,yes,no,no,yes,Both
Babe Ruth,60,yes,yes,yes,yes,no,no,no,no,America
Caramilk,52,yes,no,yes,no,no,no,no,no,Canada
Aero,42,yes,no,no,no,no,no,no,no,Canada
Mars,51,yes,no,yes,yes,no,no,no,no,Both
Payday,52,no,yes,yes,no,no,no,no,no,America
Snickers,48,yes,yes,yes,yes,no,no,no,no,Both
Crunchie,26,yes,no,no,no,no,no,no,no,Canada
Wonderbar ,58,yes,yes,yes,no,no,no,no,no,Canada
100 Grand ,43,yes,no,yes,no,yes,no,no,no,America
Take 5,43,yes,yes,yes,no,yes,no,no,no,America
Whatchamacallits,45,yes,yes,no,no,yes,no,no,no,America
Almond Joy,46,yes,no,no,no,no,yes,no,no,America
Oh Henry,51,yes,yes,yes,no,no,no,no,no,Both
Cookies and Cream,43,no,no,no,no,yes,no,yes,no,Both
